temp=0.01,temp=0.9188636363636364,temp=1.8277272727272729,temp=2.736590909090909,temp=3.6454545454545455,temp=4.554318181818182,temp=5.463181818181818,temp=6.372045454545455,temp=7.280909090909091,temp=8.189772727272727,temp=9.098636363636365,temp=10.0075,temp=10.916363636363636,temp=11.825227272727274,temp=12.73409090909091,temp=13.642954545454547,temp=14.551818181818183,temp=15.460681818181818,temp=16.369545454545456,temp=17.278409090909093,temp=18.18727272727273,temp=19.096136363636365,temp=20.005000000000003,temp=20.91386363636364,temp=21.822727272727274,temp=22.73159090909091,temp=23.64045454545455,temp=24.549318181818187,temp=25.45818181818182,temp=26.36704545454546,temp=27.275909090909096,temp=28.18477272727273,temp=29.093636363636367,temp=30.002500000000005,temp=30.91136363636364,temp=31.820227272727276,temp=32.72909090909091,temp=33.63795454545455,temp=34.54681818181818,temp=35.455681818181816,temp=36.36454545454546,temp=37.27340909090909,temp=38.182272727272725,temp=39.091136363636366,temp=40.0
1,1,1,1,0,0.25,0.5,0.625,0.25,0,0.125,0.625,0,0.125,0.625,0.125,0.125,0.125,0.25,0.125,0.125,0.125,0.125,0.5,0.125,0.25,0.375,0.25,0.125,0.25,0.125,0.25,0.125,0.25,0.125,0,0,0.375,0.125,0.25,0.5,0.25,0.125,0.25,0.125
1,1,1,1,0.125,0.375,0.625,0.625,0.125,0,0,0.5,0.125,0.25,0.5,0.125,0,0,0.125,0.25,0,0,0,0.375,0,0.125,0.5,0.125,0.25,0.125,0.125,0.375,0,0.125,0.25,0.125,0.125,0.375,0.25,0.375,0.5,0.125,0.125,0.125,0.25
1,1,1,1,0.125,0.25,0.5,0.625,0,0.125,0.125,0.375,0.25,0.125,0.375,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,0.5,0.125,0,0.375,0,0.375,0,0,0.25,0.125,0,0.125,0,0,0.25,0.125,0.5,0.375,0,0.25,0.25,0.125
1,1,1,1,0.25,0.125,0.625,0.75,0.125,0,0.25,0.25,0.125,0.25,0.5,0,0,0.25,0.125,0.25,0,0.25,0,0.375,0,0.125,0.25,0.125,0.5,0.125,0.125,0.375,0,0.125,0,0.125,0.125,0.25,0,0.375,0.25,0.125,0.125,0.125,0.25
1,1,1,1,0.25,0.25,0.75,0.625,0.25,0.125,0.125,0.25,0,0.125,0.625,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,0.5,0.125,0.25,0.125,0,0.375,0,0.25,0.25,0.125,0.125,0.125,0,0,0.125,0.125,0.5,0.125,0,0.25,0.25,0.125
1,1,1,1,0.375,0.375,0.75,0.5,0.125,0.125,0.25,0.375,0.125,0,0.5,0.25,0.25,0,0.125,0,0,0.125,0.125,0.375,0,0.375,0,0.125,0.5,0.125,0.25,0.125,0,0.25,0.25,0.125,0.125,0,0.25,0.375,0.25,0.125,0.25,0.375,0
1,1,1,1,0.5,0.375,0.875,0.5,0.25,0.25,0.375,0.375,0,0,0.375,0.125,0.125,0.125,0,0.125,0.125,0.125,0,0.5,0.125,0.375,0.125,0.125,0.375,0,0.375,0,0.125,0.375,0.25,0.125,0,0.125,0.375,0.5,0.375,0.25,0.125,0.5,0.125
1,1,1,1,0.5,0.25,0.875,0.625,0.375,0.375,0.5,0.25,0.125,0.125,0.375,0.25,0.25,0,0.125,0,0,0,0.125,0.375,0.25,0.5,0,0,0.25,0.125,0.25,0.125,0.25,0.25,0.25,0,0.125,0.25,0.25,0.375,0.25,0.125,0.125,0.375,0
1,1,1,1,0.625,0.375,0.875,0.75,0.25,0.25,0.625,0.125,0,0,0.25,0.25,0.125,0.125,0,0.125,0.125,0,0,0.5,0.125,0.5,0,0.125,0.125,0.25,0.125,0,0.25,0.125,0.125,0.125,0,0.125,0.125,0.25,0.125,0.25,0,0.25,0.125
1,1,1,1,0.5,0.5,1,0.75,0.125,0.25,0.5,0,0.125,0.125,0.125,0.25,0.25,0.25,0.125,0.25,0,0,0.125,0.625,0,0.375,0.125,0,0,0.375,0,0.125,0.125,0.25,0.25,0,0.125,0.25,0,0.375,0,0.125,0.125,0.375,0
1,1,1,1,0.375,0.625,1,0.625,0.25,0.125,0.5,0.125,0.125,0,0.125,0.125,0.375,0.375,0,0.125,0.125,0.125,0,0.625,0.125,0.375,0,0.125,0.125,0.25,0.125,0.25,0.25,0.375,0.125,0.125,0,0.125,0.125,0.25,0,0,0,0.5,0.125
1,1,1,1,0.5,0.625,1,0.625,0.125,0,0.375,0,0,0,0,0.25,0.25,0.375,0.125,0,0,0,0.125,0.75,0.25,0.5,0,0,0,0.375,0.25,0.375,0.125,0.25,0,0,0,0,0,0.25,0.125,0.125,0.125,0.375,0.25
1,1,1,1,0.375,0.625,1,0.5,0.25,0.125,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.125,0.125,0.125,0,0.625,0.375,0.625,0.125,0.125,0.125,0.25,0.375,0.25,0.25,0.375,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0,0,0.375,0.125
1,1,1,1,0.25,0.625,1,0.375,0.375,0,0.375,0,0,0.25,0.125,0.25,0.25,0.375,0.125,0,0.25,0,0.125,0.625,0.5,0.75,0,0,0,0.125,0.5,0.375,0.125,0.5,0,0.25,0,0.25,0.25,0.25,0.125,0.125,0.125,0.25,0.25
1,1,1,1,0.375,0.625,1,0.5,0.25,0.125,0.25,0.125,0.125,0.375,0.25,0.125,0.375,0.375,0,0.125,0.125,0.125,0.25,0.625,0.625,0.625,0.125,0.125,0.125,0,0.375,0.375,0,0.375,0.125,0.375,0.125,0.125,0.375,0.125,0.125,0,0.25,0.125,0.375
1,1,1,1,0.375,0.625,1,0.375,0.125,0,0.375,0,0.25,0.375,0.125,0.25,0.25,0.25,0.125,0,0.25,0.25,0.125,0.5,0.5,0.5,0.25,0,0.125,0.125,0.5,0.25,0.125,0.25,0,0.5,0.25,0,0.5,0,0,0.125,0.125,0,0.25
1,1,1,1,0.5,0.625,1,0.5,0,0.125,0.375,0.125,0.125,0.25,0,0.125,0.125,0.375,0,0.125,0.125,0.125,0,0.625,0.5,0.625,0.375,0.125,0,0,0.375,0.375,0,0.25,0.125,0.375,0.125,0.125,0.375,0.125,0.125,0.25,0,0.125,0.125
1,1,1,1,0.375,0.75,1,0.375,0.125,0,0.375,0,0.25,0.375,0.125,0,0.125,0.25,0.125,0.25,0,0,0.125,0.5,0.375,0.5,0.375,0.25,0.125,0.125,0.25,0.375,0.125,0.25,0.25,0.25,0.25,0.25,0.375,0,0.25,0.375,0.125,0.25,0
1,1,1,1,0.25,0.75,1,0.375,0.25,0.125,0.375,0.125,0.125,0.5,0.25,0.125,0,0.125,0.125,0.375,0.125,0.125,0,0.375,0.25,0.375,0.25,0.375,0.25,0,0.125,0.5,0,0.375,0.125,0.125,0.125,0.125,0.25,0.125,0.375,0.25,0.25,0.125,0.125
1,1,1,1,0.25,0.75,1,0.375,0.375,0,0.25,0,0.125,0.375,0.125,0.125,0,0.25,0,0.25,0,0.25,0.125,0.5,0.375,0.375,0.125,0.25,0.125,0.125,0.25,0.375,0.125,0.25,0.25,0.125,0,0,0.125,0.25,0.25,0.125,0.125,0.25,0
1,1,1,1,0.125,0.75,1,0.375,0.25,0.125,0.125,0.125,0.25,0.25,0,0,0.125,0.375,0.125,0.375,0.125,0.125,0.25,0.625,0.25,0.375,0,0.375,0.25,0,0.375,0.25,0,0.375,0.125,0.125,0.125,0.125,0.25,0.125,0.375,0,0.25,0.125,0.125
1,1,1,1,0,0.875,1,0.375,0.25,0.25,0.25,0,0.125,0.375,0.125,0.125,0,0.25,0,0.5,0,0.25,0.125,0.5,0.125,0.25,0.125,0.5,0.125,0.125,0.5,0.125,0.125,0.25,0.25,0,0.25,0,0.375,0,0.375,0.125,0.125,0,0
1,1,1,1,0.125,0.875,0.875,0.25,0.125,0.125,0.375,0.125,0.25,0.5,0,0,0.125,0.125,0.125,0.625,0.125,0.125,0.25,0.625,0.25,0.25,0,0.625,0.25,0.25,0.625,0,0.25,0.375,0.125,0.125,0.25,0.125,0.375,0,0.5,0,0,0.125,0.125
1,1,1,1,0.25,0.875,0.875,0.25,0,0.125,0.375,0.125,0.125,0.375,0.125,0.125,0.25,0,0.125,0.5,0.25,0.25,0.375,0.5,0.375,0.375,0.125,0.625,0.125,0.125,0.625,0,0.125,0.25,0,0.125,0.375,0,0.25,0.125,0.625,0.125,0.125,0,0
1,1,1,1,0.125,0.875,0.875,0.125,0.125,0,0.25,0.25,0.25,0.25,0,0,0.375,0.125,0,0.375,0.375,0.125,0.25,0.625,0.25,0.5,0.25,0.625,0.25,0.25,0.5,0.125,0,0.125,0.125,0.25,0.5,0.125,0.125,0,0.75,0.25,0,0.125,0.125
1,1,0.875,1,0,0.75,0.75,0,0,0.125,0.125,0.125,0.125,0.125,0,0,0.25,0,0.125,0.25,0.25,0,0.25,0.5,0.125,0.5,0.375,0.625,0.125,0.375,0.625,0,0.125,0.25,0,0.125,0.625,0.25,0.25,0.125,0.75,0.375,0,0.25,0.25
1,1,0.875,1,0.125,0.625,0.75,0.125,0.125,0.25,0,0.125,0.25,0,0.125,0.125,0.375,0.125,0.25,0.125,0.375,0.125,0.375,0.375,0.25,0.375,0.25,0.75,0,0.25,0.625,0.125,0.25,0.375,0.125,0,0.625,0.125,0.375,0.25,0.625,0.25,0.125,0.375,0.125
1,1,0.875,1,0,0.75,0.75,0,0,0.25,0,0,0.125,0.125,0,0,0.5,0.25,0.375,0,0.25,0,0.25,0.5,0.375,0.25,0.125,0.75,0.125,0.125,0.5,0.125,0.125,0.25,0,0.125,0.625,0.125,0.25,0.125,0.5,0.125,0,0.5,0
1,1,1,1,0.125,0.75,0.75,0.125,0.125,0.25,0.125,0.125,0,0.25,0.125,0.125,0.375,0.125,0.375,0.125,0.375,0.125,0.375,0.375,0.25,0.25,0.25,0.625,0,0,0.375,0.25,0.25,0.125,0.125,0,0.5,0,0.375,0,0.375,0.25,0.125,0.375,0.125
1,1,1,1,0,0.75,0.75,0,0.25,0.125,0.25,0.125,0.125,0.125,0,0,0.5,0,0.25,0.25,0.5,0,0.375,0.5,0.375,0.125,0.125,0.5,0.125,0.125,0.25,0.125,0.125,0,0,0.125,0.375,0.125,0.25,0.125,0.25,0.125,0,0.25,0
1,1,1,1,0,0.625,0.625,0.125,0.125,0,0.125,0,0.25,0,0.125,0.125,0.625,0.125,0.125,0.125,0.5,0.125,0.25,0.625,0.25,0,0.25,0.375,0,0,0.125,0.25,0,0.125,0.125,0,0.5,0,0.125,0,0.375,0.25,0.125,0.125,0.125
1,1,1,1,0.125,0.625,0.625,0,0.25,0.125,0,0.125,0.125,0.125,0.25,0,0.5,0.125,0,0.25,0.375,0,0.125,0.625,0.375,0.125,0.25,0.375,0.125,0.125,0.25,0.375,0.125,0.25,0.25,0.125,0.5,0.125,0,0.125,0.25,0.125,0,0.25,0
1,1,1,1,0,0.5,0.5,0.125,0.375,0.125,0.125,0,0,0.125,0.125,0.125,0.375,0.25,0.125,0.125,0.5,0.125,0.25,0.5,0.25,0.25,0.375,0.25,0,0.25,0.125,0.5,0,0.125,0.375,0,0.375,0,0.125,0.25,0.125,0,0.125,0.125,0.125
1,1,1,1,0.125,0.375,0.625,0.25,0.375,0.25,0,0.125,0.125,0.25,0.25,0.25,0.25,0.125,0,0.25,0.625,0.125,0.125,0.625,0.375,0.125,0.25,0.125,0.125,0.375,0,0.375,0.125,0.25,0.25,0.125,0.5,0.125,0.25,0.125,0.25,0.125,0,0,0.25
1,1,1,1,0,0.5,0.5,0.25,0.25,0.25,0.125,0.25,0,0.125,0.375,0.375,0.375,0,0.125,0.125,0.5,0.25,0,0.5,0.5,0.25,0.375,0,0,0.25,0.125,0.375,0,0.125,0.125,0.25,0.375,0,0.375,0,0.125,0.25,0.125,0.125,0.375
1,1,1,1,0,0.625,0.625,0.375,0.25,0.125,0.25,0.125,0.125,0.25,0.25,0.5,0.25,0.125,0,0.25,0.5,0.125,0.125,0.375,0.375,0.125,0.25,0.125,0.125,0.125,0,0.25,0.125,0,0.25,0.125,0.5,0.125,0.25,0.125,0,0.125,0,0,0.25
1,1,1,1,0.125,0.625,0.625,0.5,0.25,0.25,0.375,0.25,0,0.25,0.125,0.625,0.125,0,0.125,0.25,0.375,0,0,0.25,0.5,0.25,0.125,0.125,0.25,0.125,0.125,0.125,0.125,0.125,0.375,0,0.375,0.25,0.375,0,0.125,0.25,0.125,0.125,0.125
1,1,1,1,0.125,0.5,0.5,0.375,0.25,0.125,0.25,0.375,0.125,0.375,0,0.5,0.25,0.125,0,0.125,0.25,0.125,0.125,0.375,0.375,0.125,0,0.25,0.125,0.25,0.25,0,0,0.25,0.5,0.125,0.25,0.125,0.5,0.125,0,0.125,0,0,0.25
1,1,1,1,0.25,0.625,0.625,0.5,0.375,0.25,0.125,0.25,0.125,0.5,0.125,0.5,0.375,0,0.125,0,0.375,0.25,0.125,0.25,0.375,0,0.125,0.25,0,0.375,0.125,0.125,0.125,0.125,0.375,0.25,0.125,0,0.375,0,0.125,0.25,0.125,0.125,0.375
1,1,1,1,0.375,0.625,0.75,0.375,0.375,0.125,0,0.375,0.25,0.375,0,0.375,0.5,0.125,0,0.125,0.5,0.375,0,0.125,0.25,0.125,0.25,0.125,0.125,0.5,0.25,0,0.25,0.25,0.25,0.125,0.25,0.125,0.25,0.125,0,0.375,0.25,0,0.5
1,1,1,1,0.375,0.625,0.625,0.25,0.5,0,0.125,0.5,0.25,0.25,0.125,0.5,0.375,0,0.125,0.25,0.625,0.25,0.125,0,0.125,0.25,0.375,0,0.25,0.375,0.375,0.125,0.375,0.375,0.125,0,0.375,0.25,0.125,0.25,0.125,0.375,0.125,0.125,0.375
1,1,1,1,0.375,0.625,0.625,0.125,0.625,0.125,0,0.375,0.125,0.125,0,0.375,0.25,0.125,0,0.375,0.5,0.375,0,0.125,0,0.125,0.25,0.125,0.375,0.25,0.5,0.25,0.5,0.5,0,0.125,0.5,0.125,0,0.375,0,0.25,0.25,0.25,0.25
1,1,1,1,0.5,0.625,0.5,0.25,0.625,0.25,0.125,0.25,0.25,0.25,0.125,0.5,0.125,0.125,0.125,0.25,0.625,0.25,0.125,0,0,0.125,0.375,0,0.25,0.125,0.5,0.125,0.375,0.375,0.125,0,0.375,0,0.125,0.5,0.125,0.125,0.375,0.375,0.125
1,1,1,1,0.625,0.625,0.375,0.375,0.625,0.375,0,0.125,0.25,0.125,0.25,0.375,0.25,0,0.125,0.375,0.5,0.375,0.125,0.125,0.125,0,0.25,0.125,0.125,0,0.375,0.25,0.25,0.25,0,0.125,0.5,0.125,0,0.375,0.25,0.25,0.25,0.25,0
1,1,1,1,0.5,0.5,0.25,0.25,0.625,0.25,0.125,0,0.125,0,0.125,0.25,0.375,0.125,0.25,0.25,0.5,0.5,0.25,0,0,0.125,0.25,0,0.25,0.125,0.25,0.125,0.375,0.375,0.125,0,0.625,0.25,0.125,0.5,0.375,0.125,0.125,0.125,0.125
1,1,1,0.875,0.625,0.625,0.125,0.125,0.5,0.125,0,0.125,0.25,0,0.25,0.125,0.25,0,0.125,0.125,0.375,0.5,0.375,0.125,0.125,0,0.25,0.125,0.125,0.25,0.125,0,0.25,0.5,0,0.125,0.75,0.125,0,0.625,0.5,0,0,0,0
1,1,1,0.875,0.625,0.5,0.25,0.125,0.5,0,0.125,0,0.25,0.125,0.125,0,0.125,0.125,0.25,0,0.25,0.625,0.5,0.25,0.25,0.125,0.375,0,0.25,0.375,0.25,0.125,0.25,0.625,0,0.25,0.75,0,0.125,0.5,0.375,0.125,0.125,0.125,0.125
1,1,1,0.875,0.625,0.625,0.25,0.25,0.375,0.125,0,0.125,0.125,0.25,0.125,0.125,0.25,0.25,0.375,0.125,0.375,0.75,0.625,0.125,0.125,0.25,0.25,0.125,0.375,0.25,0.125,0.25,0.375,0.5,0.125,0.125,0.75,0.125,0.25,0.375,0.25,0,0,0.25,0
1,1,1,0.875,0.5,0.625,0.125,0.375,0.375,0.25,0.125,0,0.25,0.125,0.25,0,0.125,0.375,0.375,0.25,0.25,0.75,0.625,0.25,0.25,0.375,0.375,0.25,0.5,0.125,0,0.125,0.25,0.375,0,0.25,0.625,0,0.125,0.375,0.125,0.125,0.125,0.375,0.125
1,1,1,0.875,0.625,0.75,0.125,0.375,0.375,0.375,0.25,0.125,0.125,0,0.25,0.125,0.25,0.25,0.5,0.375,0.375,0.875,0.75,0.125,0.375,0.25,0.5,0.125,0.375,0.25,0.125,0.25,0.375,0.375,0.125,0.125,0.75,0.125,0,0.25,0.25,0.125,0.25,0.5,0.25
1,1,1,0.875,0.625,0.75,0.25,0.25,0.375,0.25,0.125,0,0,0.125,0.125,0.25,0.125,0.125,0.5,0.25,0.25,0.75,0.625,0.25,0.5,0.125,0.625,0,0.25,0.25,0,0.125,0.5,0.25,0,0,0.625,0.25,0.125,0.125,0.375,0,0.125,0.375,0.375
1,1,1,0.875,0.625,0.625,0.125,0.25,0.25,0.125,0,0.125,0,0,0.25,0.125,0,0.25,0.375,0.125,0.25,0.625,0.75,0.375,0.625,0,0.75,0.125,0.375,0.125,0,0,0.625,0.375,0.125,0.125,0.5,0.375,0.25,0,0.5,0.125,0,0.25,0.25
1,1,1,1,0.5,0.75,0.125,0.125,0.375,0.125,0.125,0,0.125,0.125,0.125,0,0.125,0.125,0.25,0.25,0.25,0.5,0.75,0.25,0.5,0.125,0.875,0,0.25,0,0.125,0.125,0.5,0.5,0.25,0.25,0.375,0.25,0.375,0.125,0.375,0,0.125,0.125,0.375
1,1,1,1,0.5,0.75,0,0,0.5,0,0.25,0.125,0.25,0.25,0.25,0,0.25,0,0.375,0.375,0.125,0.375,0.625,0.125,0.5,0.25,0.75,0.125,0.375,0.125,0.25,0,0.625,0.375,0.375,0.375,0.5,0.375,0.5,0,0.5,0.125,0,0,0.25
1,1,1,1,0.375,0.75,0,0.125,0.625,0.125,0.25,0.25,0.25,0.125,0.125,0.125,0.375,0.125,0.5,0.25,0,0.25,0.5,0.25,0.375,0.375,0.625,0,0.25,0.25,0.125,0.125,0.625,0.5,0.5,0.375,0.375,0.5,0.5,0.125,0.375,0.25,0.125,0.125,0.125
1,1,1,1,0.375,0.875,0,0.25,0.5,0,0.125,0.375,0.25,0,0,0,0.25,0,0.375,0.125,0,0.25,0.5,0.375,0.5,0.25,0.5,0.125,0.25,0.125,0,0,0.5,0.375,0.375,0.25,0.25,0.375,0.375,0,0.25,0.375,0.25,0.25,0
1,1,1,1,0.375,0.875,0.125,0.375,0.625,0.125,0.125,0.5,0.125,0.125,0.125,0,0.375,0.125,0.25,0,0.125,0.375,0.375,0.5,0.375,0.125,0.375,0,0.125,0,0.125,0.125,0.375,0.25,0.25,0.375,0.375,0.5,0.25,0.125,0.375,0.25,0.375,0.375,0.125
1,1,1,1,0.375,0.875,0.25,0.375,0.625,0.25,0.25,0.375,0.125,0.25,0,0,0.25,0.25,0.25,0.125,0,0.5,0.25,0.375,0.25,0,0.375,0.125,0.125,0.125,0,0,0.25,0.125,0.375,0.25,0.25,0.375,0.125,0,0.25,0.375,0.25,0.25,0.25
1,1,1,1,0.375,0.875,0.375,0.375,0.75,0.375,0.125,0.25,0.25,0.375,0.125,0.125,0.375,0.125,0.125,0.25,0.125,0.5,0.125,0.375,0.125,0.125,0.25,0,0,0.25,0.125,0.125,0.375,0,0.5,0.375,0.375,0.25,0.25,0.125,0.375,0.25,0.125,0.125,0.375
1,1,1,0.875,0.5,0.75,0.5,0.25,0.625,0.375,0.25,0.125,0.25,0.25,0,0,0.25,0,0,0.125,0.25,0.375,0,0.5,0,0,0.125,0.125,0.125,0.375,0.25,0,0.5,0.125,0.375,0.25,0.25,0.125,0.375,0.25,0.25,0.125,0,0.25,0.25
1,1,1,0.875,0.5,0.625,0.375,0.125,0.625,0.25,0.125,0.25,0.375,0.375,0,0.125,0.375,0.125,0.125,0.25,0.375,0.25,0.125,0.375,0.125,0.125,0,0.25,0,0.25,0.375,0,0.375,0.25,0.5,0.125,0.125,0.25,0.25,0.375,0.375,0,0.125,0.125,0.25
1,1,1,0.875,0.625,0.625,0.5,0,0.75,0.375,0,0.375,0.25,0.375,0.125,0.25,0.25,0,0,0.125,0.25,0.125,0.125,0.5,0,0.125,0.125,0.375,0.125,0.125,0.25,0.125,0.25,0.25,0.375,0.125,0,0.125,0.125,0.25,0.25,0.125,0,0.25,0.25
1,1,1,0.875,0.5,0.5,0.375,0.125,0.75,0.25,0,0.25,0.375,0.375,0.25,0.125,0.125,0.125,0.125,0,0.375,0,0,0.375,0.125,0,0,0.5,0,0.25,0.125,0.25,0.375,0.375,0.5,0.25,0,0,0,0.125,0.375,0.25,0.125,0.125,0.375
1,1,1,0.875,0.625,0.5,0.375,0,0.625,0.375,0,0.375,0.375,0.25,0.125,0.25,0,0.25,0,0.125,0.5,0.125,0.125,0.25,0.25,0.125,0.125,0.375,0.125,0.125,0,0.125,0.25,0.25,0.375,0.375,0,0.125,0.125,0,0.25,0.125,0.25,0.25,0.5
1,1,1,0.875,0.625,0.375,0.375,0.125,0.5,0.25,0.125,0.5,0.25,0.125,0,0.375,0.125,0.125,0.125,0.25,0.5,0.25,0.125,0.125,0.125,0,0.25,0.5,0,0.25,0.125,0,0.125,0.125,0.25,0.5,0.125,0,0,0.125,0.375,0.25,0.375,0.125,0.375
1,1,1,0.875,0.625,0.375,0.375,0.25,0.625,0.125,0,0.625,0.125,0,0.125,0.25,0.125,0.25,0.25,0.125,0.625,0.125,0,0,0,0.125,0.375,0.375,0.125,0.125,0.125,0.125,0,0,0.125,0.375,0,0.125,0.125,0,0.25,0.125,0.375,0.25,0.25
1,1,1,0.875,0.75,0.5,0.375,0.375,0.625,0.25,0.125,0.5,0,0.125,0,0.375,0,0.125,0.125,0.125,0.5,0.25,0.125,0.125,0.125,0.25,0.25,0.25,0.25,0,0.25,0.25,0.125,0.125,0.25,0.5,0.125,0.25,0,0.125,0.375,0,0.25,0.25,0.125
1,1,1,0.875,0.625,0.625,0.25,0.25,0.5,0.375,0.25,0.625,0.125,0,0.125,0.25,0.125,0.25,0.125,0,0.375,0.375,0.25,0,0.25,0.125,0.125,0.375,0.125,0.125,0.375,0.125,0.25,0,0.125,0.375,0.25,0.125,0.125,0,0.25,0.125,0.125,0.375,0.125
1,1,1,0.875,0.625,0.625,0.125,0.375,0.375,0.25,0.125,0.5,0.25,0.125,0,0.375,0.25,0.25,0.125,0.125,0.5,0.5,0.125,0.125,0.375,0.25,0,0.5,0,0,0.5,0.25,0.375,0,0,0.25,0.125,0.25,0.25,0.125,0.375,0,0,0.25,0.125
1,1,1,0.875,0.5,0.625,0.125,0.25,0.25,0.375,0,0.625,0.375,0.25,0.125,0.5,0.375,0.375,0,0.25,0.5,0.375,0,0,0.5,0.375,0.125,0.375,0.125,0.125,0.375,0.25,0.5,0.125,0.125,0.125,0,0.375,0.375,0,0.25,0.125,0.125,0.25,0.25
1,1,1,0.875,0.625,0.625,0,0.125,0.375,0.25,0.125,0.5,0.25,0.125,0.25,0.625,0.25,0.25,0.125,0.125,0.5,0.25,0.125,0,0.375,0.25,0,0.25,0.25,0.125,0.5,0.375,0.375,0.25,0.25,0.25,0.125,0.375,0.25,0.125,0.125,0.25,0.25,0.25,0.375
1,1,1,0.875,0.75,0.75,0.125,0,0.5,0.125,0.25,0.5,0.125,0,0.125,0.5,0.375,0.125,0,0.25,0.375,0.375,0.25,0.125,0.25,0.375,0.125,0.375,0.125,0.25,0.625,0.5,0.5,0.25,0.125,0.375,0,0.25,0.375,0,0.25,0.375,0.375,0.125,0.375
1,1,1,0.875,0.75,0.625,0,0.125,0.375,0,0.125,0.625,0.125,0.125,0.25,0.5,0.25,0.25,0.125,0.125,0.25,0.25,0.125,0,0.375,0.25,0.25,0.25,0,0.375,0.5,0.375,0.625,0.125,0,0.25,0.125,0.125,0.5,0.125,0.375,0.25,0.25,0,0.25
1,1,1,0.875,0.75,0.75,0.125,0,0.25,0.125,0,0.625,0.25,0.125,0.375,0.5,0.125,0.125,0,0.25,0.125,0.125,0,0.125,0.5,0.125,0.25,0.125,0.125,0.375,0.375,0.25,0.5,0,0.125,0.375,0.25,0,0.375,0,0.25,0.125,0.125,0.125,0.375
1,1,1,0.75,0.625,0.75,0.25,0.125,0.125,0.125,0.125,0.75,0.25,0.25,0.25,0.375,0,0.25,0.125,0.375,0,0.25,0.125,0,0.375,0.25,0.25,0.25,0,0.375,0.25,0.125,0.375,0.125,0,0.25,0.375,0.125,0.25,0.125,0.375,0,0,0,0.25
1,1,1,0.875,0.625,0.75,0.25,0.25,0.25,0.25,0.25,0.75,0.125,0.125,0.125,0.5,0.125,0.125,0,0.5,0.125,0.125,0,0.125,0.25,0.375,0.125,0.375,0.125,0.25,0.125,0,0.25,0,0.125,0.125,0.25,0.25,0.25,0.25,0.375,0.125,0.125,0.125,0.125
1,1,1,0.875,0.625,0.75,0.125,0.25,0.25,0.125,0.375,0.625,0,0.25,0,0.625,0,0.125,0.125,0.625,0,0,0.125,0,0.375,0.25,0,0.25,0.25,0.25,0.25,0.125,0.375,0.125,0,0.25,0.125,0.125,0.125,0.125,0.25,0.25,0,0.25,0.25
1,1,1,0.875,0.625,0.75,0,0.375,0.375,0.25,0.375,0.5,0.125,0.25,0.125,0.625,0.125,0.25,0,0.625,0,0.125,0,0.125,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.375,0.25,0,0.125,0.25,0,0,0,0.375,0.125,0.125,0.125,0.125
1,1,1,0.875,0.75,0.75,0.125,0.5,0.375,0.125,0.25,0.375,0.25,0.25,0,0.75,0.25,0.375,0,0.5,0.125,0.25,0.125,0,0.125,0,0,0,0.25,0,0.25,0.125,0.25,0.125,0.125,0.25,0.375,0.125,0.125,0.125,0.25,0,0.25,0,0
1,1,1,0.875,0.875,0.875,0,0.375,0.375,0.125,0.125,0.25,0.375,0.375,0.125,0.625,0.125,0.25,0.125,0.375,0.25,0.375,0.25,0.125,0,0.125,0.125,0,0.125,0.125,0.375,0,0.125,0,0,0.125,0.5,0,0.25,0,0.125,0.125,0.375,0.125,0.125
1,1,1,0.875,0.75,0.75,0,0.25,0.375,0.25,0.125,0.125,0.375,0.25,0.25,0.625,0,0.375,0,0.25,0.125,0.25,0.125,0,0.125,0.25,0.25,0.125,0,0.25,0.5,0.125,0,0.125,0.125,0,0.625,0.125,0.375,0.125,0,0,0.5,0,0
1,1,1,0.875,0.75,0.75,0.125,0.25,0.5,0.375,0,0.25,0.25,0.125,0.375,0.5,0.125,0.25,0.125,0.125,0,0.375,0.25,0.125,0,0.125,0.25,0.25,0.125,0.125,0.625,0.25,0.125,0,0,0.125,0.625,0.25,0.25,0,0.125,0.125,0.375,0.125,0.125
1,1,1,0.875,0.875,0.75,0,0.25,0.375,0.25,0.125,0.125,0.125,0.25,0.25,0.5,0.25,0.125,0,0,0.125,0.25,0.125,0.125,0,0.25,0.375,0.125,0.25,0,0.5,0.25,0,0.125,0.125,0,0.5,0.125,0.375,0.125,0.25,0.25,0.5,0,0
1,1,0.875,0.875,0.875,0.75,0,0.125,0.25,0.125,0.25,0.125,0,0.375,0.25,0.375,0.375,0,0.125,0,0,0.375,0,0,0.125,0.125,0.5,0.25,0.125,0.125,0.375,0.375,0.125,0,0,0.125,0.5,0.25,0.25,0.25,0.375,0.125,0.375,0.125,0.125
1,1,0.875,0.875,0.875,0.75,0.125,0,0.125,0,0.375,0,0.125,0.5,0.375,0.5,0.25,0.125,0,0.125,0.125,0.5,0.125,0.125,0,0.25,0.375,0.125,0,0.25,0.25,0.25,0.25,0.125,0.125,0.25,0.375,0.375,0.125,0.125,0.25,0.25,0.25,0.25,0
